Link,Company,Title,Exp,Edu
https://www.jobkorea.co.kr/Recruit/GI_Read/41051973?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜컴투스,[컴투스 그룹] 각 부문별 경력/신입 인재채용,신입·경력,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/41176396?Oem_Code=C1&logpath=1&stext=러시아&listno=,오디오갤러리,2023년 상반기 각 부문별 신입 및 경력 채용,신입·경력,초대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/41213146?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜하나금융티아이,[하나금융TI] 금융IT 경력사원 모집,경력,대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/40840134?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜네스텍,C#/JAVA/파이썬 프로그래머 모집합니다 (완전초보 환영),경력무관,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/40828487?Oem_Code=C1&logpath=1&stext=러시아&listno=,누리꿈소프트㈜,"[정규직] 데이터분석 python,R 초급 또는 중급인원을 구인합니다.",경력2년↑,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/41215501?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜경동나비엔,2023년 경동 상반기 관리/기술직 공개 채용,신입·경력,초대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/41213146?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜하나금융티아이,[하나금융TI] 금융IT 경력사원 모집,경력,대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/41202996?Oem_Code=C1&logpath=1&stext=러시아&listno=,미래에셋증권㈜,미래에셋증권 경력사원 채용,경력2년↑,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/41230264?Oem_Code=C1&logpath=1&stext=러시아&listno=,삼성증권,해외주식 마케팅 업무지원 파트타이머 채용,신입·경력,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/41191686?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜농협물류,2023년도 농협물류 상반기 부문별 신입/경력 채용,신입·경력1년↑,대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/41209183?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜소만사,정보보안 소만사에서 채용 판도라 오픈,경력무관,초대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/41176617?Oem_Code=C1&logpath=1&stext=러시아&listno=,GS건설㈜,GS건설 신사업 및 인프라 분야 정규직 경력사원 모집,경력,대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/41223673?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈔한국산업기술진흥협회,한국산업기술진흥협회 정규직 직원 공개채용 공고,신입,대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/41204047?Oem_Code=C1&logpath=1&stext=러시아&listno=,잡코리아(유),[잡코리아] 신규 서비스 및 솔루션 개발,경력3년↑,대졸↑
